cave-name-ascii,min-altitude,max-altitude,length-nr,vertical-extent-nr,number-of-entrances-nr,record-id
Eisriesenwelt,1657,1657,42000,407,,AT-1511/24
Schonberg-Hohlensystem,1459,1933,149123,1061,34,AT-1626/300
Raucherkarhohle,,,86000,,,AT-1626/55
Feuertal-Eishohle,1718,1718,,,,AT-1626/18
Dachstein-Mammuthohle,927,1828,67437,1207,21,AT-1547/9
Dachstein-Rieseneishohle,1455,1455,2000,70,,AT-1547/17
Eisgruben-Eishohle,1720,1720,213,97,,AT-1611/39
Schneeloch,1450,1450,10319,1101,,AT-1511/7
Schneeloch,1450,1450,721,68,,AT-1851/7
Beilstein Eishohle,1308,1308,,,,AT-1741/2
Kraterschacht,1531,1531,,250,,AT-1651/24
Eiskogelhohle,2110,2110,4600,420,,AT-1511/101
Hundalm Eishohle,1515,1515,264,55,,AT-1266/1
Kolowrathohle,1391,1391,38000,1100,,AT-1339/1
Gamslocher-Kolowrat-Hohlensystem,,,44003,1130,,AT-1339/1-S
Salzburgerschacht,,,6000,,,AT-1339/69
Schwarzmooskogel-Eishohle,,,5051,262,6,AT-1623/40
Nervensystem-Hohle,,,6139,262,6,AT-1627/74
Hochschneid Eishohle,,,,,,AT-62157e008c37edf7bc663a9590653c8e
Schodlkogeleishohle,939,939,,,,AT-12939fa5b2fd0bd0b11978d23799d594
Sudkar-Eishohle,,,,250,,AT-1826/25
Ledenica,,,,,,BA-ccffe3d9f1b3bcbb3a83f3e524a694b1
Ledana Pit,,,,,,BA-e162a9a2aaa25b709e3ad2e3011b45d4
Ledena Jama u Lomskoj dulibi,1235,1235,,536,,HR-fc5c286f2874ed642e4a714c611bdc41
Kugina ledenica,1140,1140,,,,HR-6f1c783a5a0993501197890241ec8f19
Puhaljka Cave,,,,,,HR-5f9eca7e842ee5186254a7851395bc6a
Snjeguljac Cave,,,,,,HR-33106ec4fe619387c246bf1b458644ca
Lukina jama-Trojama system,,,,,,HR-96408a1ebf531785b2ac2dba2bfe6014
Vukusic  Ice  Cave,1470,1470,,30,,HR-127e07914a01979e937269d23b2317b4
Stirovaca Ice  Cave,1110,1110,351,36,2,HR-649eabf30132b3395f1622ed9bc0223c
Gavranova jama,1100,1100,,20,2,HR-1087eb5bceb413d883582a5eee8fb42a
Korkia-Mauran Jaaluola,125,125,,,,FI-3bacd764cccfcdca855f79037da8fe2e
Surtshellir,,,1970,37,,IS-cfd58b66d7080bc2f98c4a0c695ec018
Ishellir,,,500,,,IS-0be6610b5c951d4644b5dc592e0a7f57
Stefanshellir,,,1520,,,IS-6b64a41d13ea3703bc179d5320cb7b55
Vidgelmir,250,250,1585,39,,IS-8b2fdd9758744f258da5018ced142dc7
Lofthellir,,,370,,,IS-KED-01
Eisl-Schlucht,1910,1910,,340,,DE-a811eec526520538502dd398aa76a22c
Firnkegelhohle,,,,,,DE-3d3d907b724b120dcc94751855b84252
Hinterbergkarschlinger,,,,,,DE-9f3b8d0a4f0b6d8e12fa92195977ef31
Eisfliegenschacht,,,,,,DE-d5d6206d84f6002b89cc083a009883c7
Gipfelhohle,2560,2560,,,,DE-0227f2e6068399acc51ce79364d5c868
Yetischacht,,,537,194,,DE-1337/87
Schlundeisbergschacht,,,,,,DE-1337/213
Eisrohrhohle,,,,,,DE-1337/118
Eisrohrhohle-Bammelschacht-System,,,7861,496,,DE-1337/118-S
Zeller Eishohle,,,660,143,,DE-1337/5
Schellenberger Eishohle,1570,1570,3621,260,,DE-1339/26
Naturfreundehohle,1800,1800,,,,DE-1339/34
Cannstatter Schacht,1870,1870,,,,DE-1338/183
Eisblaser,1787,1787,,,,DE-1339/246
Rauchkopfschacht,1675,1675,,,,DE-1339/228
Nordstorungstopf,1630,1630,,,,DE-fe1dc893d9cfdf8ff494a7e7ec5dae57
Sockenschleuder,1958,1958,,,,DE-5a3147b027565b969bae7dc8b3850a3f
